customer_id,age,gender,region,education_level,employment_type,annual_income,loan_amount,loan_purpose,credit_score,repayment_history,transaction_count,spending_ratio,join_date,default_flag
CUST075722,34,Male,West,Secondary,Self-Employed,655313.0,1817174.27,Business,769.05,2,160,27.29,2018-07-30,0
CUST080185,28,Male,East,Secondary,Salaried,609720.06,757269.93,Home,665.15,1,145,14.09,2025-06-04,1
CUST019865,50,Female,North,Post-Graduate,Self-Employed,244292.6,741832.47,Car,623.72,0,119,48.67,2018-12-25,1
CUST076700,52,Male,West,Graduate,Salaried,419056.12,1244732.38,Home,626.12,2,100,45.55,2017-06-02,0
CUST092992,35,Male,North,Graduate,Salaried,465101.82,2281784.53,Home,702.31,2,168,41.69,2022-02-21,1
CUST076435,35,Female,South,Secondary,Salaried,406025.18,394124.87,Other,722.35,3,122,63.12,2018-03-20,0
CUST084005,46,Female,South,Graduate,Salaried,851811.0,185667.49,Other,850.0,2,181,36.69,2019-10-21,0
CUST080918,49,Female,East,Secondary,Salaried,439465.16,939338.31,Education,614.86,1,101,62.46,2018-05-30,0
CUST060768,52,Male,West,Graduate,Salaried,970497.29,652472.43,Home,703.89,3,154,34.58,2019-10-25,0
CUST050075,32,Male,South,Graduate,Self-Employed,644340.14,733711.45,Education,723.11,2,53,61.88,2023-12-03,1
CUST027702,63,Male,North,Graduate,Salaried,675731.38,2123746.05,Business,653.73,0,139,29.2,2024-03-16,0
CUST042142,38,Male,North,Secondary,Salaried,1123886.71,4456536.11,Car,693.21,1,130,50.0,2024-11-06,1
CUST045081,49,Male,South,Graduate,Salaried,198278.37,351101.96,Business,713.29,3,58,39.33,2019-12-20,1
CUST016639,37,Female,West,Primary,Self-Employed,578259.0,1286021.32,Car,679.54,0,98,36.84,2021-02-25,0
CUST020425,59,Female,North,Graduate,Salaried,1590933.22,2820373.39,Home,727.75,1,189,30.52,2020-12-15,0
CUST088703,55,Female,South,Graduate,Salaried,1350720.6,3301151.67,Other,744.03,0,162,29.98,2024-04-10,0
CUST000150,35,Female,East,Graduate,Salaried,671306.0,1781192.32,Car,695.87,1,65,15.78,2023-08-18,0
CUST001762,54,Female,North,Graduate,Self-Employed,466529.65,1052343.18,Other,724.21,3,80,36.37,2025-12-26,0
CUST063121,51,Male,East,Post-Graduate,Salaried,896149.98,210833.33,Home,708.51,2,111,50.14,2024-06-05,0
CUST069162,42,Female,South,Secondary,Unemployed,695847.01,2153064.34,Car,604.52,1,176,39.1,2018-11-27,1
CUST064884,32,Male,South,Graduate,Self-Employed,697562.9,3489971.67,Car,789.41,2,11,56.1,2022-12-12,1
CUST002496,40,Female,East,Primary,Salaried,462018.43,988998.55,Education,759.6,1,74,9.61,2021-03-24,0
CUST080297,39,Male,West,Graduate,Salaried,1860313.71,9032187.49,Home,684.36,0,97,35.09,2020-08-23,1
CUST019448,41,Female,South,Graduate,Unemployed,479336.28,2180673.4,Other,655.83,2,63,71.58,2020-06-21,1
CUST041332,27,Female,West,Post-Graduate,Salaried,462086.07,119523.02,Education,791.87,2,190,30.98,2017-04-03,0
CUST014889,60,Female,North,Graduate,Salaried,368778.53,419751.03,Home,824.44,2,67,57.05,2023-11-11,0
CUST088637,37,Male,South,Graduate,Self-Employed,802705.99,2537757.11,Other,735.18,1,84,68.59,2018-01-14,1
CUST094893,30,Female,North,Post-Graduate,Salaried,259068.26,821226.64,Business,694.55,2,74,50.71,2022-11-22,1
CUST092732,40,Male,West,Graduate,Salaried,2012001.24,188955.3,Business,658.26,0,122,60.66,2019-09-22,0
CUST029131,57,Female,East,Post-Graduate,Salaried,720013.25,938655.49,Business,749.32,2,84,51.45,2022-05-27,1
CUST079023,59,Male,West,Graduate,Unemployed,535141.08,1181229.34,Business,659.97,1,119,51.75,2026-08-25,1
CUST084937,31,Male,North,Graduate,Salaried,466445.82,1304448.71,Other,739.95,2,173,21.04,2020-11-05,0
CUST016822,42,Female,North,Secondary,Salaried,2747106.38,292533.57,Car,674.16,0,212,55.19,2023-09-04,1
CUST036734,41,Female,West,Secondary,Salaried,713562.17,715078.89,Home,591.09,1,120,40.22,2022-01-30,1
CUST015603,44,Male,West,Graduate,Salaried,440788.99,56643.96,Business,691.92,1,256,40.37,2022-03-12,0
CUST028534,50,Female,West,Secondary,Self-Employed,3873338.58,1450639.2,Business,655.84,0,171,36.51,2018-01-28,0
CUST069770,38,Female,East,Graduate,Salaried,547691.18,184178.43,Other,564.65,0,59,41.31,2020-11-24,1
CUST011406,43,Female,North,Secondary,Salaried,663901.46,2317696.5,Education,674.32,1,95,59.56,2025-02-22,0
CUST096853,27,Male,East,Primary,Salaried,852752.34,1725425.88,Car,706.71,0,229,34.94,2021-02-08,0
